time,total_load,latitude,longitude,temperature
2020-01-01 00:00:00,14602.0,52.0,19.555555555555557,2.606666666666667
2020-01-01 01:00:00,14053.0,52.0,19.555555555555557,2.2433333333333336
2020-01-01 02:00:00,13564.0,52.0,19.555555555555557,1.9366666666666665
2020-01-01 03:00:00,13112.0,52.0,19.555555555555557,1.6544444444444446
2020-01-01 04:00:00,12943.0,52.0,19.555555555555557,1.5577777777777777
2020-01-01 05:00:00,12970.0,52.0,19.555555555555557,1.4166666666666667
2020-01-01 06:00:00,13125.0,52.0,19.555555555555557,1.35
2020-01-01 07:00:00,13036.0,52.0,19.555555555555557,1.2377777777777779
2020-01-01 08:00:00,12978.0,52.0,19.555555555555557,1.558888888888889
2020-01-01 09:00:00,13483.0,52.0,19.555555555555557,1.9911111111111113
2020-01-01 10:00:00,14095.0,52.0,19.555555555555557,2.3744444444444444
2020-01-01 11:00:00,14645.0,52.0,19.555555555555557,2.772222222222222
2020-01-01 12:00:00,15127.0,52.0,19.555555555555557,2.9866666666666664
2020-01-01 13:00:00,15676.0,52.0,19.555555555555557,2.9855555555555555
2020-01-01 14:00:00,15779.0,52.0,19.555555555555557,2.7311111111111113
2020-01-01 15:00:00,15865.0,52.0,19.555555555555557,2.26
2020-01-01 16:00:00,17043.0,52.0,19.555555555555557,1.7944444444444443
2020-01-01 17:00:00,17353.0,52.0,19.555555555555557,1.3077777777777777
2020-01-01 18:00:00,17432.0,52.0,19.555555555555557,1.1533333333333333
2020-01-01 19:00:00,17496.0,52.0,19.555555555555557,0.8988888888888888
2020-01-01 20:00:00,17223.0,52.0,19.555555555555557,0.6733333333333333
2020-01-01 21:00:00,16507.0,52.0,19.555555555555557,0.49666666666666676
2020-01-01 22:00:00,15783.0,52.0,19.555555555555557,0.21666666666666667
2020-01-01 23:00:00,14801.0,52.0,19.555555555555557,-0.21333333333333337
2020-01-02 00:00:00,13978.0,52.0,19.555555555555557,-0.44555555555555554
2020-01-02 01:00:00,13549.0,52.0,19.555555555555557,-0.7
2020-01-02 02:00:00,13335.0,52.0,19.555555555555557,-0.9988888888888889
2020-01-02 03:00:00,13273.0,52.0,19.555555555555557,-1.1577777777777778
2020-01-02 04:00:00,13679.0,52.0,19.555555555555557,-1.3611111111111112
2020-01-02 05:00:00,14682.0,52.0,19.555555555555557,-1.5611111111111111
2020-01-02 06:00:00,17356.0,52.0,19.555555555555557,-1.78
2020-01-02 07:00:00,19426.0,52.0,19.555555555555557,-1.9366666666666665
2020-01-02 08:00:00,20505.0,52.0,19.555555555555557,-1.3077777777777777
2020-01-02 09:00:00,21299.0,52.0,19.555555555555557,-0.16444444444444445
2020-01-02 10:00:00,21491.0,52.0,19.555555555555557,1.6166666666666667
2020-01-02 11:00:00,21543.0,52.0,19.555555555555557,2.807777777777778
2020-01-02 12:00:00,21551.0,52.0,19.555555555555557,3.69
2020-01-02 13:00:00,21821.0,52.0,19.555555555555557,3.8911111111111105
2020-01-02 14:00:00,21644.0,52.0,19.555555555555557,3.2488888888888887
2020-01-02 15:00:00,21688.0,52.0,19.555555555555557,1.9300000000000002
2020-01-02 16:00:00,22767.0,52.0,19.555555555555557,0.8222222222222223
2020-01-02 17:00:00,22699.0,52.0,19.555555555555557,0.11000000000000007
2020-01-02 18:00:00,22517.0,52.0,19.555555555555557,-0.31222222222222223
2020-01-02 19:00:00,22338.0,52.0,19.555555555555557,-0.5766666666666667
2020-01-02 20:00:00,21806.0,52.0,19.555555555555557,-0.9133333333333334
2020-01-02 21:00:00,20555.0,52.0,19.555555555555557,-1.0766666666666667
2020-01-02 22:00:00,19284.0,52.0,19.555555555555557,-1.24
2020-01-02 23:00:00,18067.0,52.0,19.555555555555557,-1.5533333333333335
2020-01-03 00:00:00,16949.0,52.0,19.555555555555557,-1.7333333333333334
2020-01-03 01:00:00,16369.0,52.0,19.555555555555557,-1.7011111111111112
2020-01-03 02:00:00,16036.0,52.0,19.555555555555557,-1.8811111111111112
2020-01-03 03:00:00,15998.0,52.0,19.555555555555557,-1.7555555555555555
2020-01-03 04:00:00,16209.0,52.0,19.555555555555557,-1.6644444444444444
2020-01-03 05:00:00,17022.0,52.0,19.555555555555557,-1.6233333333333333
2020-01-03 06:00:00,19142.0,52.0,19.555555555555557,-1.261111111111111
2020-01-03 07:00:00,20780.0,52.0,19.555555555555557,-1.1344444444444446
2020-01-03 08:00:00,21490.0,52.0,19.555555555555557,0.06777777777777778
2020-01-03 09:00:00,21818.0,52.0,19.555555555555557,1.0866666666666667
2020-01-03 10:00:00,21889.0,52.0,19.555555555555557,2.2344444444444442
2020-01-03 11:00:00,22070.0,52.0,19.555555555555557,2.7511111111111113
2020-01-03 12:00:00,22013.0,52.0,19.555555555555557,3.1688888888888886
2020-01-03 13:00:00,22297.0,52.0,19.555555555555557,3.2555555555555555
2020-01-03 14:00:00,22159.0,52.0,19.555555555555557,2.858888888888889
2020-01-03 15:00:00,22156.0,52.0,19.555555555555557,2.5844444444444443
2020-01-03 16:00:00,23121.0,52.0,19.555555555555557,2.502222222222222
2020-01-03 17:00:00,23069.0,52.0,19.555555555555557,2.45
2020-01-03 18:00:00,22698.0,52.0,19.555555555555557,2.698888888888889
2020-01-03 19:00:00,22343.0,52.0,19.555555555555557,2.824444444444444
2020-01-03 20:00:00,21749.0,52.0,19.555555555555557,2.9344444444444444
2020-01-03 21:00:00,20522.0,52.0,19.555555555555557,3.078888888888889
2020-01-03 22:00:00,19291.0,52.0,19.555555555555557,3.078888888888889
